,City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Constitucion,23.99,72.63,8.0,40.0,19.46
1,Ilulissat,69.22,5.0,60.0,32.0,13.87
2,Guerrero Negro,27.97,58.56,96.0,0.0,10.33
4,Punta Arenas,-53.16,46.18,87.0,40.0,5.82
5,Cherskiy,68.75,-13.17,41.0,0.0,2.51
6,Atuona,-9.8,82.77,100.0,44.0,12.46
7,Lebu,8.96,60.8,55.0,75.0,4.7
8,Upernavik,72.79,-3.54,100.0,32.0,2.39
9,Mataura,-46.19,57.99,64.0,20.0,1.99
10,Bathsheba,13.22,78.8,78.0,75.0,12.75
11,Portland,45.52,51.42,50.0,75.0,4.7
12,Margate,-43.03,62.76,41.0,0.0,11.41
13,Busselton,-33.64,63.91,49.0,0.0,14.14
14,Hasaki,35.73,48.31,34.0,20.0,12.75
15,Alta Floresta,-9.87,77.64,91.0,36.0,0.94
16,Airai,-8.93,73.46,86.0,68.0,0.83
17,Fortuna,38.18,47.79,71.0,0.0,5.82
18,Port Alfred,-33.59,64.49,93.0,64.0,7.87
19,Tuktoyaktuk,69.44,-16.61,75.0,75.0,6.93
20,Albany,42.65,37.89,48.0,90.0,4.7
21,Kapaa,22.08,77.63,61.0,20.0,18.34
22,Vanimo,-2.67,82.59,99.0,80.0,17.27
23,Srednekolymsk,67.46,-1.83,70.0,44.0,2.73
24,Chuy,-33.69,67.11,92.0,88.0,21.07
25,Chernyshevskiy,63.01,7.98,72.0,56.0,2.73
26,Namibe,-15.19,76.74,100.0,0.0,8.43
27,Lichtenburg,-26.15,58.92,83.0,8.0,2.84
29,Kavieng,-2.57,81.24,100.0,68.0,8.21
30,Gravdal,59.79,35.85,93.0,88.0,14.99
31,Ushuaia,-54.81,51.8,53.0,0.0,3.36
32,Lata,30.78,27.51,85.0,68.0,1.72
33,Cape Town,-33.93,66.04,88.0,20.0,16.11
34,Castro,-42.48,53.6,76.0,20.0,8.05
35,Jamestown,-33.21,62.16,94.0,0.0,4.41
36,Rikitea,-23.12,74.72,100.0,100.0,21.52
37,Poum,41.28,24.45,89.0,48.0,1.83
38,Port Hedland,-20.31,91.4,52.0,68.0,10.29
40,Ostrovnoy,68.05,8.66,84.0,20.0,11.9
42,Bredasdorp,-34.53,64.76,88.0,92.0,2.24
43,Saint-Philippe,45.36,31.17,100.0,90.0,2.24
46,Revelstoke,50.99,41.0,48.0,75.0,6.93
47,Nikolskoye,59.7,23.49,79.0,0.0,8.95
48,Rafaela,-31.25,69.39,57.0,0.0,1.99
49,Souillac,45.6,45.93,81.0,0.0,8.05
50,Hobart,-42.88,62.38,41.0,0.0,11.41
51,Alofi,-19.06,86.0,70.0,75.0,14.99
52,Barrow,-38.31,58.07,76.0,0.0,9.44
53,Holbeach,52.8,44.69,81.0,90.0,13.87
54,Virginia Beach,36.85,47.23,70.0,75.0,6.93
55,Bluff,-23.58,87.41,52.0,0.0,4.63
56,Mount Isa,-20.73,91.4,36.0,0.0,9.17
58,Benguela,-12.58,77.24,100.0,20.0,5.75
59,Estrela,-29.5,67.89,96.0,44.0,1.95
60,Vaini,15.34,69.8,49.0,0.0,2.06
61,San Policarpo,12.18,79.67,87.0,20.0,11.45
62,Lisakovsk,52.55,35.39,90.0,68.0,15.82
64,Havre-Saint-Pierre,50.23,19.4,79.0,40.0,9.17
65,Hermanus,-34.42,65.55,95.0,20.0,3.06
66,Port Blair,11.67,79.94,100.0,0.0,6.2
67,Hilo,19.71,72.5,69.0,90.0,5.82
68,Mar Del Plata,-46.43,57.21,90.0,0.0,4.41
69,Erzin,36.95,54.55,93.0,75.0,26.4
70,Butaritari,3.07,80.21,100.0,88.0,8.99
71,Ponta Do Sol,-20.63,70.76,87.0,64.0,2.73
72,Tomatlan,19.93,81.42,54.0,12.0,3.4
73,Corinth,37.94,46.27,75.0,20.0,3.36
74,Libreville,0.39,78.8,94.0,75.0,6.93
75,Mae Sai,20.44,60.06,100.0,0.0,2.73
76,Yellandu,17.59,67.02,92.0,0.0,2.73
77,Eidfjord,60.47,14.91,83.0,68.0,1.5
78,Pacific Grove,36.62,59.76,54.0,1.0,11.41
79,Silver City,32.77,38.26,60.0,90.0,26.4
80,Coihaique,-45.58,48.2,70.0,0.0,14.99
81,Morant Bay,17.88,82.4,51.0,20.0,9.17
82,Lakselv,70.05,23.63,67.0,76.0,41.38
83,Puerto Ayora,-0.74,78.4,78.0,0.0,9.17
84,Severo-Kurilsk,50.68,30.89,95.0,92.0,20.96
85,Matay,28.42,51.77,42.0,0.0,10.56
86,Vila Franca Do Campo,37.72,56.07,67.0,75.0,12.75
88,Deputatskiy,69.3,-19.56,52.0,20.0,2.73
89,Jurm,36.86,12.12,87.0,8.0,1.72
91,Bilibino,68.06,-11.91,72.0,0.0,2.73
92,Fuente De Oro,3.46,72.6,81.0,12.0,1.83
93,Marsh Harbour,26.54,73.32,100.0,36.0,19.51
94,Selcuk,37.95,46.13,75.0,0.0,12.75
95,Gua Musang,4.88,66.66,89.0,0.0,1.95
96,Bako,9.68,75.39,73.0,0.0,4.41
97,Thompson,55.74,39.2,55.0,40.0,3.36
98,Narsaq,60.91,26.6,73.0,48.0,3.36
99,Rio Gallegos,-51.62,50.0,93.0,90.0,8.05
100,Colesberg,-30.72,55.32,81.0,80.0,2.28
101,Mashivka,49.44,19.64,71.0,0.0,2.84
103,Balabac,7.99,81.15,100.0,0.0,10.45
104,Hobyo,5.35,78.18,91.0,88.0,13.02
105,Chara,39.42,45.21,70.0,75.0,3.36
106,Oktyabrskiy,55.61,13.96,92.0,76.0,2.73
107,Longyearbyen,78.22,-0.41,77.0,20.0,3.36
108,New Norfolk,-42.78,62.56,41.0,0.0,11.41
109,Fairbanks,64.84,37.18,47.0,75.0,6.93
110,Sorland,67.67,34.49,100.0,92.0,21.18
111,Qaanaaq,77.48,-4.22,100.0,56.0,9.44
113,Rawson,-43.3,59.0,87.0,20.0,13.87
114,Katherine,-14.47,86.0,70.0,40.0,3.36
115,Shimorskoye,55.33,16.53,85.0,0.0,7.09
116,Lompoc,34.64,61.56,47.0,0.0,17.22
118,Vila Velha,-3.71,76.44,94.0,75.0,11.41
119,Arraial Do Cabo,-22.97,78.8,74.0,0.0,2.24
120,Aykhal,65.95,-9.44,63.0,12.0,2.84
121,Tura,25.52,56.49,77.0,0.0,1.95
122,Nador,35.17,56.16,59.0,0.0,6.93
123,Mahebourg,-20.41,73.17,83.0,20.0,5.82
124,Obo,5.39,68.19,85.0,12.0,2.84
125,Nabire,-3.36,74.94,87.0,32.0,1.61
126,Kasane,-17.8,65.31,67.0,0.0,2.73
127,Sitka,37.17,46.99,78.0,88.0,25.99
128,Tiksi,71.64,-3.95,76.0,56.0,3.96
129,Price,39.6,27.55,58.0,90.0,17.22
130,Erenhot,43.65,17.12,75.0,12.0,3.62
131,Coria,39.98,38.4,80.0,0.0,5.64
132,Taoudenni,22.68,57.93,28.0,0.0,7.54
133,Kruisfontein,-34.0,60.86,86.0,32.0,5.86
134,Cidreira,-30.17,71.43,88.0,0.0,9.55
135,Birin,35.01,47.04,93.0,68.0,4.74
136,Vardo,39.62,52.02,33.0,90.0,6.93
137,Yurino,56.29,21.2,100.0,0.0,3.85
138,Puerto Escondido,15.86,84.2,70.0,40.0,4.7
140,Carnarvon,-30.97,55.64,29.0,88.0,2.95
141,Tuatapere,-46.13,57.99,64.0,92.0,1.99
142,Laguna,27.52,71.6,43.0,5.0,5.82
143,Bambous Virieux,-20.34,73.18,83.0,20.0,5.82
144,Port Said,25.34,56.22,34.0,0.0,8.99
145,Avarua,-21.21,84.2,74.0,64.0,19.46
146,Tilichiki,60.47,-5.39,81.0,24.0,4.18
147,Saint George,39.45,45.25,70.0,75.0,3.36
149,Poya,-21.35,76.52,100.0,100.0,10.33
150,San Bartolo Del Llano,19.31,69.8,15.0,40.0,16.11
152,Yellowknife,62.45,12.63,61.0,75.0,6.93
153,Santa Maria,-29.69,69.8,77.0,20.0,3.36
154,Provideniya,64.42,15.45,100.0,92.0,21.97
155,Georgetown,6.8,77.85,100.0,75.0,11.41
156,Saint Anthony,43.97,35.31,55.0,90.0,9.17
158,Gat,14.69,77.0,27.0,0.0,12.75
159,Lavrentiya,65.58,16.04,100.0,64.0,32.59
160,Kem,2.68,71.21,50.0,0.0,9.22
161,Dikson,73.51,12.12,91.0,80.0,25.1
162,Ketchikan,55.34,42.8,75.0,90.0,27.51
163,Kingaroy,-26.54,80.6,61.0,40.0,8.05
164,Trat,12.25,84.13,78.0,75.0,2.24
165,Ovre Ardal,61.32,13.61,88.0,44.0,1.72
166,Anloga,5.79,84.2,89.0,20.0,8.05
167,Beisfjord,68.38,26.91,54.0,92.0,6.93
168,Beni Mazar,28.5,53.66,44.0,0.0,10.89
169,Tsogni,-2.79,81.78,100.0,80.0,6.98
170,Hailey,43.52,30.99,57.0,68.0,18.99
